location,event_name,start_datetime,end_datetime
Various,Purple Wednesday,09/01/2019 22:00,10/01/2019 02:00
Various,Purple Wednesday,16/01/2019 22:00,17/01/2019 02:00
Various,Purple Wednesday,23/01/2019 22:00,24/01/2019 02:00
Various,Purple Wednesday,30/01/2019 22:00,31/01/2019 02:00
Various,Purple Wednesday,06/02/2019 22:00,07/02/2019 02:00
Various,Purple Wednesday,13/02/2019 22:00,14/02/2019 02:00
Various,Purple Wednesday,20/02/2019 22:00,21/02/2019 02:00
Various,Purple Wednesday,27/02/2019 22:00,28/02/2019 02:00
Various,Purple Wednesday,06/03/2019 22:00,07/03/2019 02:00
Various,Purple Wednesday,13/03/2019 22:00,14/03/2019 02:00
Various,Purple Wednesday,20/03/2019 22:00,21/03/2019 02:00
Various,Purple Wednesday,27/03/2019 22:00,28/03/2019 02:00
Various,Purple Wednesday,03/04/2019 22:00,04/04/2019 02:00
Various,Purple Wednesday,10/04/2019 22:00,11/04/2019 02:00
Various,Purple Wednesday,17/04/2019 22:00,18/04/2019 02:00
Various,Purple Wednesday,24/04/2019 22:00,25/04/2019 02:00
Various,Purple Wednesday,01/05/2019 22:00,02/05/2019 02:00
Various,Purple Wednesday,08/05/2019 22:00,09/05/2019 02:00
Various,Purple Wednesday,15/05/2019 22:00,16/05/2019 02:00
Various,Purple Wednesday,22/05/2019 22:00,23/05/2019 02:00
Various,Purple Wednesday,29/05/2019 22:00,30/05/2019 02:00
Various,Purple Wednesday,05/06/2019 22:00,06/06/2019 02:00
Various,Purple Wednesday,12/06/2019 22:00,13/06/2019 02:00
Various,Purple Wednesday,19/06/2019 22:00,20/06/2019 02:00
Various,Purple Wednesday,26/06/2019 22:00,27/06/2019 02:00
Various,Purple Wednesday,03/07/2019 22:00,04/07/2019 02:00
