lecture_weeks - Split 1,lecture_weeks - Split 2,lecture_weeks - Split 3,lecture_weeks - Split 4,lecture_weeks - Split 5,lecture_weeks - Split 6,lecture_weeks - Split 7,lecture_weeks - Split 8,lecture_weeks - Split 9,lecture_weeks - Split 10,lecture_id,unit_code,lecture_start_time,lecture_day,unit_name,lecture_end_time,module_type,lecture_weeks
2,3,4,5,6,8,9,10,11,12,13135,U25765,30/12/1899 11:00:00,Tue,INTRODUCTION TO COMPUTER ESSENTIALS,30/12/1899 12:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13136,U25765,30/12/1899 11:00:00,Tue,INTRODUCTION TO COMPUTER ESSENTIALS,30/12/1899 12:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13137,U21259,30/12/1899 12:00:00,Fri,INTRODUCTION TO DATABASE DESIGN AND DEVELOPMENT,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13138,U21259,30/12/1899 12:00:00,Fri,INTRODUCTION TO DATABASE DESIGN AND DEVELOPMENT,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,,,,,,,13139,U21261,30/12/1899 17:00:00,Tue,INTRODUCTION TO PROGRAMMING,30/12/1899 18:00:00,Drop-In,"2,3,4,5"
3,5,9,11,,,,,,,13140,U21261,30/12/1899 09:00:00,Mon,INTRODUCTION TO PROGRAMMING,30/12/1899 10:00:00,Drop-In,"3,5,9,11"
7,,,,,,,,,,13141,U21261,30/12/1899 11:00:00,Mon,INTRODUCTION TO PROGRAMMING,30/12/1899 13:00:00,Drop-In,7
14,15,16,17,,,,,,,13142,U21261,30/12/1899 17:00:00,Tue,INTRODUCTION TO PROGRAMMING,30/12/1899 18:00:00,Drop-In,"14,15,16,17"
14,15,16,17,18,19,21,22,23,,13143,U21261,30/12/1899 10:00:00,Wed,INTRODUCTION TO PROGRAMMING,30/12/1899 11:00:00,Lect,"14,15,16,17,18,19,21,22,23"
14,15,16,17,18,19,21,22,24,,13144,U21261,30/12/1899 10:00:00,Fri,INTRODUCTION TO PROGRAMMING,30/12/1899 11:00:00,Lect,"14,15,16,17,18,19,21,22,24"
15,17,19,22,,,,,,,13145,U21261,30/12/1899 09:00:00,Mon,INTRODUCTION TO PROGRAMMING,30/12/1899 10:00:00,Drop-In,"15,17,19,22"
20,,,,,,,,,,13146,U21261,30/12/1899 11:00:00,Mon,INTRODUCTION TO PROGRAMMING,30/12/1899 13:00:00,Drop-In,20
8,9,10,11,12,13,,,,,13147,U26107,30/12/1899 13:00:00,Mon,LEARNING FROM EXPERIENCE TEACHING PLACEMENT,30/12/1899 15:00:00,Place,"8,9,10,11,12,13"
15,16,17,19,,,,,,,13148,U26107,30/12/1899 09:00:00,Mon,LEARNING FROM EXPERIENCE TEACHING PLACEMENT,30/12/1899 12:55:00,Place,"15,16,17,19"
15,16,17,20,,,,,,,13149,U26107,30/12/1899 13:00:00,Mon,LEARNING FROM EXPERIENCE TEACHING PLACEMENT,30/12/1899 15:00:00,Place,"15,16,17,20"
21,22,23,,,,,,,,13150,U26107,30/12/1899 09:00:00,Mon,LEARNING FROM EXPERIENCE TEACHING PLACEMENT,30/12/1899 12:55:00,Prest,"21,22,23"
