Postcodes,Latitude,Longitude
PO1 5DR,50.800825,-1.075171
PO1 5DS,50.800533,-1.072325
PO1 5DT,50.800011,-1.070107
PO1 5DU,50.800637,-1.075246
PO1 5DW,50.80132,-1.077545
PO1 5DX,50.80027,-1.072074
PO1 5DY,50.800019,-1.072221
PO1 5DZ,50.799803,-1.072126
PO1 5EA,50.80001,-1.073371
PO1 5EB,50.799968,-1.073712
PO1 5ED,50.799475,-1.072757
PO1 5EE,50.79923,-1.07594
PO1 5EF,50.799346,-1.074604
PO1 5EG,50.798976,-1.072199
PO1 5EH,50.79888,-1.075976
PO1 5EJ,50.799422,-1.071751
PO1 5EQ,50.798688,-1.075611
PO1 5ET,50.80088,-1.07754
PO1 5EU,50.801518,-1.077527
PO1 5EW,50.801079,-1.076585
PO1 5EX,50.79946,-1.076546
PO1 5EY,50.802022,-1.077603
PO1 5EZ,50.802416,-1.077538
PO1 5FB,50.80012,-1.076959
PO1 5FD,50.799729,-1.076413
PO1 5FE,50.797452,-1.07616
PO1 5FG,50.799966,-1.076891
PO1 5FJ,50.798085,-1.076644
PO1 5HA,50.802731,-1.077447
PO1 5HD,50.800786,-1.077088
PO1 5HH,50.801785,-1.077167
PO1 5HP,50.802764,-1.074707
PO1 5HR,50.803148,-1.074416
PO1 5HS,50.802924,-1.074562
PO1 5HT,50.802876,-1.074137
PO1 5HU,50.802546,-1.073377
PO1 5HW,50.802219,-1.075158
PO1 5HX,50.80245,-1.073748
PO1 5HY,50.801519,-1.074221
PO1 5HZ,50.801692,-1.072302
PO1 5JA,50.802426,-1.072997
PO1 5JB,50.801277,-1.074339
PO1 5JD,50.800607,-1.070422
PO1 5JE,50.801093,-1.074967
PO1 5JF,50.800345,-1.070171
PO1 5JG,50.801729,-1.074657
PO1 5JH,50.801735,-1.075409
PO1 5JJ,50.801476,-1.076705
PO1 5JP,50.800848,-1.072418
PO1 5JR,50.806987,-1.076582
PO1 5JS,50.806195,-1.076428
PO1 5JU,50.806195,-1.076428
PO1 5JX,50.805491,-1.076172
PO1 5JY,50.806773,-1.076771
PO1 5LB,50.80539,-1.074783
PO1 5LD,50.805229,-1.073708
PO1 5LE,50.804545,-1.073608
PO1 5LF,50.804785,-1.073276
PO1 5LG,50.806038,-1.074756
PO1 5LH,50.80592,-1.071295
PO1 5LJ,50.80569,-1.076494
PO1 5LL,50.804808,-1.072822
PO1 5LN,50.806633,-1.072701
PO1 5LP,50.804929,-1.072422
PO1 5LQ,50.805821,-1.074718
PO1 5LR,50.806612,-1.07236
PO1 5LS,50.808,-1.072702
PO1 5LT,50.803858,-1.072103
PO1 5LU,50.804118,-1.071941
PO1 5LW,50.80775,-1.072948
PO1 5LX,50.80491,-1.072025
PO1 5LY,50.80558,-1.071458
PO1 5LZ,50.80518,-1.070927
PO1 5NA,50.804607,-1.070186
PO1 5ND,50.803819,-1.070599
PO1 5PA,50.804713,-1.076925
PO1 5PB,50.803555,-1.073514
PO1 5PF,50.803927,-1.073932
PO1 5PG,50.803539,-1.072648
PO1 5PH,50.803762,-1.074758
PO1 5PJ,50.803149,-1.072216
PO1 5PL,50.802948,-1.070787
PO1 5PN,50.803298,-1.072965
PO1 5PP,50.803787,-1.071097
PO1 5PQ,50.803166,-1.070158
PO1 5PR,50.801336,-1.069527
PO1 5PT,50.80211,-1.07052
PO1 5PU,50.801164,-1.070297
PO1 5PW,50.803152,-1.072656
PO1 5PX,50.802229,-1.070815
PO1 5PY,50.800959,-1.070486
PO1 5PZ,50.802386,-1.071351
PO1 5QA,50.8011,-1.071249
PO1 5QB,50.802371,-1.071621
PO1 5QD,50.801102,-1.071575
PO1 5QE,50.802383,-1.072018
PO1 5QF,50.801249,-1.071998
PO1 5QG,50.802376,-1.072274
PO1 5QH,50.803766,-1.075241
PO1 5QJ,50.807069,-1.074381
PO1 5QL,50.808127,-1.075098
PO1 5QN,50.807541,-1.074982
PO1 5QP,50.807934,-1.074662
PO1 5QQ,50.801207,-1.072269
PO1 5QS,50.807666,-1.075944
PO1 5QT,50.806657,-1.074659
PO1 5QU,50.807706,-1.075333
PO1 5QW,50.807422,-1.074672
PO1 5QX,50.806938,-1.074951
PO1 5QY,50.807344,-1.071665
PO1 5RA,50.808072,-1.070501
PO1 5RB,50.807715,-1.074212
PO1 5RD,50.806422,-1.073329
PO1 5RE,50.808419,-1.074496
PO1 5RF,50.80647,-1.073711
PO1 5RG,50.808222,-1.073492
PO1 5RH,50.807968,-1.072078
PO1 5RJ,50.808411,-1.071331
PO1 5RL,50.808618,-1.070163
PO1 5RN,50.80668,-1.071862
PO1 5RP,50.806779,-1.070768
PO1 5RQ,50.808542,-1.071982
PO1 5RR,50.806892,-1.070198
PO1 5RS,50.807638,-1.076995
PO1 5RU,50.809099,-1.070764
PO1 5RX,50.807146,-1.077374
PO1 5RY,50.807066,-1.077446
PO1 5RZ,50.807303,-1.076959
PO1 5SA,50.807373,-1.076518
PO1 5SD,50.807533,-1.076203
PO1 5SE,50.807165,-1.075174
PO1 5SF,50.807269,-1.074703
PO10 7AA,50.847337,-0.936055
PO10 7AB,50.846952,-0.937229
PO10 7AD,50.846325,-0.932555
PO10 7AE,50.847336,-0.936879
PO10 7AG,50.845849,-0.936641
PO10 7AL,50.846009,-0.936355
PO10 7AN,50.84584,-0.935521
PO10 7AQ,50.846399,-0.93673
PO10 7AS,50.846413,-0.937227
PO10 7AU,50.847198,-0.935604
PO10 7AW,50.846447,-0.936033
PO10 7AX,50.845028,-0.934304
PO10 7AY,50.844222,-0.933683
PO10 7AZ,50.844828,-0.933185
PO10 7BA,50.84673,-0.934577
PO10 7BB,50.850453,-0.937533
PO10 7BD,50.84427,-0.933
PO10 7BE,50.844743,-0.932563
PO10 7BG,50.843858,-0.932214
PO10 7BH,50.845206,-0.936047
PO10 7BJ,50.846187,-0.934192
PO10 7BL,50.84644,-0.9343
PO10 7BP,50.848038,-0.933979
PO10 7BQ,50.844647,-0.934909
PO10 7BS,50.844525,-0.934386
PO10 7BU,50.845992,-0.933599
PO10 7BX,50.846973,-0.936475
PO10 7BY,50.848829,-0.936873
PO10 7DA,50.849383,-0.9375
PO10 7DB,50.848006,-0.936352
PO10 7DD,50.848392,-0.937393
PO10 7DG,50.848806,-0.937343
PO10 7DJ,50.849406,-0.938039
PO10 7DL,50.849413,-0.936832
PO10 7DN,50.849512,-0.93879
PO10 7DP,50.848088,-0.938524
PO10 7DR,50.8479,-0.939522
PO10 7DS,50.848535,-0.940162
PO10 7DT,50.850048,-0.940454
PO10 7DU,50.847278,-0.937434
PO10 7DW,50.848413,-0.939596
PO10 7DX,50.847418,-0.937942
PO10 7DY,50.847184,-0.937948
